year,naics,l_w
2019,21,1.1818132183123584
2019,211,1.2005815080441946
2019,212,1.2280321387578115
2019,213,1.1437785118766715
2019,22,1.384673343170188
2019,23,1.1840142458000071
2019,31-33,1.2428791931931162
2019,33,1.2327544387309595
2019,321,1.2399072627387733
2019,327,1.2292921833093637
2019,331,1.2295205332186627
2019,332,1.2058691100655126
2019,333,1.2230506593313788
2019,334,1.1779550314167073
2019,335,1.3644748378046643
2019,3361,1.239542730368065
2019,337,1.2013042548642292
2019,339,1.3695514400394337
2019,313,1.2026124818577648
2019,315,1.2303622956075666
2019,322,1.231093092156557
2019,323,1.2058730230661168
2019,324,1.5305697248365544
2019,325,1.3010131094486528
2019,326,1.2284751351744538
2019,42,1.1599429375926642
2019,44-45,1.2028236468869618
2019,481,1.3111158207057327
2019,482,1.326346143181944
2019,483,1.2886427508679121
2019,484,1.2759160590764629
2019,485,1.2127219992848346
2019,486,1.2171796707229778
2019,487,1.1996050450789322
2019,493,1.1748694327578704
2019,51,1.1571838082001389
2019,511,1.1290343246821657
2019,512,1.1847236119955122
2019,513,1.2054112989446273
2019,514,1.1376856515562443
2019,52,1.1699879218746132
2019,521,1.1664119305235736
2019,523,1.169292385041289
2019,524,1.1740678026031988
2019,525,1.171475010158472
2019,53,1.1493516212869603
2019,531,1.1478209447351444
2019,532,1.1541810369197716
2019,54,1.1523770537939222
2019,5411,1.180008073219155
2019,5415,1.1336101414661033
2019,55,1.1634968700615
2019,56,1.1750646607833262
2019,561,1.174488501915258
2019,562,1.1827802502014928
2019,61,1.2461422186780293
2019,62,1.2145446292453383
2019,621,1.2056864085389791
2019,624,1.2088215024121296
2019,71,1.160235490450584
2019,711,1.147349988730734
2019,713,1.1750463322771567
2019,72,1.1437261590225574
2019,721,1.146863927394791
2019,722,1.1428406777056361
2019,81,1.1571146143134659
